P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( knicked | Deceptive Negative) = 3.89749585891e-05
P( easier | Deceptive Positive) = 5.74943942966e-05
P( easier | Truthful Negative) = 1.93150870145e-05
P( easier | Truthful Positive) = 2.63289539507e-05
P( duvet | Deceptive Negative) = 1.94874792946e-05
P( duvet | Deceptive Positive) = 2.87471971483e-05
P( duvet | Truthful Negative) = 7.72603480579e-05
P( duvet | Truthful Positive) = 7.8986861852e-05
P( second-to-none | Deceptive Negative) = 1.94874792946e-05
P( second-to-none | Deceptive Positive) = 5.74943942966e-05
P( second-to-none | Truthful Negative) = 1.93150870145e-05
P( second-to-none | Truthful Positive) = 2.63289539507e-05
P( vouchers | Deceptive Negative) = 1.94874792946e-05
P( vouchers | Deceptive Positive) = 2.87471971483e-05
P( vouchers | Truthful Negative) = 3.86301740289e-05
P( vouchers | Truthful Positive) = 0.000105315815803
P( aready | Deceptive Negative) = 1.94874792946e-05
P( aready | Deceptive Positive) = 2.87471971483e-05
P( aready | Truthful Negative) = 3.86301740289e-05
P( aready | Truthful Positive) = 2.63289539507e-05
P( sixteen | Deceptive Negative) = 1.94874792946e-05
P( sixteen | Deceptive Positive) = 2.87471971483e-05
P( sixteen | Truthful Negative) = 1.93150870145e-05
P( sixteen | Truthful Positive) = 5.26579079013e-05
P( silver | Deceptive Negative) = 1.94874792946e-05
P( silver | Deceptive Positive) = 5.74943942966e-05
P( silver | Truthful Negative) = 1.93150870145e-05
P( silver | Truthful Positive) = 2.63289539507e-05
P( restaurant/lounge | Deceptive Negative) = 1.94874792946e-05
P( restaurant/lounge | Deceptive Positive) = 5.74943942966e-05
P( restaurant/lounge | Truthful Negative) = 1.93150870145e-05
P( restaurant/lounge | Truthful Positive) = 2.63289539507e-05
P( represents | Deceptive Negative) = 1.94874792946e-05
P( represents | Deceptive Positive) = 2.87471971483e-05
P( represents | Truthful Negative) = 3.86301740289e-05
P( represents | Truthful Positive) = 2.63289539507e-05
P( haphazardly | Deceptive Negative) = 3.89749585891e-05
P( haphazardly | Deceptive Positive) = 2.87471971483e-05
P( haphazardly | Truthful Negative) = 1.93150870145e-05
P( haphazardly | Truthful Positive) = 2.63289539507e-05
P( accomidations | Deceptive Negative) = 5.84624378837e-05
P( accomidations | Deceptive Positive) = 2.87471971483e-05
P( accomidations | Truthful Negative) = 1.93150870145e-05
P( accomidations | Truthful Positive) = 2.63289539507e-05
P( noticably | Deceptive Negative) = 3.89749585891e-05
P( noticably | Deceptive Positive) = 2.87471971483e-05
P( noticably | Truthful Negative) = 1.93150870145e-05
P( noticably | Truthful Positive) = 2.63289539507e-05
P( noticable | Deceptive Negative) = 3.89749585891e-05
P( noticable | Deceptive Positive) = 2.87471971483e-05
P( noticable | Truthful Negative) = 1.93150870145e-05
P( noticable | Truthful Positive) = 2.63289539507e-05
P( spotless | Deceptive Negative) = 1.94874792946e-05
P( spotless | Deceptive Positive) = 0.00017248318289
P( spotless | Truthful Negative) = 1.93150870145e-05
P( spotless | Truthful Positive) = 0.000210631631605
P( dumpy | Deceptive Negative) = 1.94874792946e-05
P( dumpy | Deceptive Positive) = 2.87471971483e-05
P( dumpy | Truthful Negative) = 5.79452610434e-05
P( dumpy | Truthful Positive) = 2.63289539507e-05
P( interfering | Deceptive Negative) = 3.89749585891e-05
P( interfering | Deceptive Positive) = 2.87471971483e-05
P( interfering | Truthful Negative) = 1.93150870145e-05
P( interfering | Truthful Positive) = 2.63289539507e-05
P( whim | Deceptive Negative) = 1.94874792946e-05
P( whim | Deceptive Positive) = 5.74943942966e-05
P( whim | Truthful Negative) = 1.93150870145e-05
P( whim | Truthful Positive) = 2.63289539507e-05
P( financial | Deceptive Negative) = 1.94874792946e-05
P( financial | Deceptive Positive) = 2.87471971483e-05
P( financial | Truthful Negative) = 1.93150870145e-05
P( financial | Truthful Positive) = 5.26579079013e-05
P( series | Deceptive Negative) = 5.84624378837e-05
P( series | Deceptive Positive) = 2.87471971483e-05
P( series | Truthful Negative) = 3.86301740289e-05
P( series | Truthful Positive) = 2.63289539507e-05
P( oohed | Deceptive Negative) = 3.89749585891e-05
P( oohed | Deceptive Positive) = 2.87471971483e-05
P( oohed | Truthful Negative) = 1.93150870145e-05
P( oohed | Truthful Positive) = 2.63289539507e-05
P( bowls | Deceptive Negative) = 1.94874792946e-05
P( bowls | Deceptive Positive) = 5.74943942966e-05
P( bowls | Truthful Negative) = 1.93150870145e-05
P( bowls | Truthful Positive) = 2.63289539507e-05
P( wednesday | Deceptive Negative) = 1.94874792946e-05
P( wednesday | Deceptive Positive) = 2.87471971483e-05
P( wednesday | Truthful Negative) = 5.79452610434e-05
P( wednesday | Truthful Positive) = 2.63289539507e-05
P( we'd | Deceptive Negative) = 9.74373964728e-05
P( we'd | Deceptive Positive) = 5.74943942966e-05
P( we'd | Truthful Negative) = 5.79452610434e-05
P( we'd | Truthful Positive) = 7.8986861852e-05
P( message | Deceptive Negative) = 1.94874792946e-05
P( message | Deceptive Positive) = 5.74943942966e-05
P( message | Truthful Negative) = 3.86301740289e-05
P( message | Truthful Positive) = 2.63289539507e-05
P( misfortune | Deceptive Negative) = 3.89749585891e-05
P( misfortune | Deceptive Positive) = 2.87471971483e-05
P( misfortune | Truthful Negative) = 1.93150870145e-05
P( misfortune | Truthful Positive) = 2.63289539507e-05
P( touts | Deceptive Negative) = 5.84624378837e-05
P( touts | Deceptive Positive) = 2.87471971483e-05
P( touts | Truthful Negative) = 1.93150870145e-05
P( touts | Truthful Positive) = 2.63289539507e-05
P( retuning | Deceptive Negative) = 1.94874792946e-05
P( retuning | Deceptive Positive) = 2.87471971483e-05
P( retuning | Truthful Negative) = 3.86301740289e-05
P( retuning | Truthful Positive) = 2.63289539507e-05
P( special-offers | Deceptive Negative) = 3.89749585891e-05
P( special-offers | Deceptive Positive) = 2.87471971483e-05
P( special-offers | Truthful Negative) = 1.93150870145e-05
P( special-offers | Truthful Positive) = 2.63289539507e-05
P( rd | Deceptive Negative) = 3.89749585891e-05
P( rd | Deceptive Positive) = 2.87471971483e-05
P( rd | Truthful Negative) = 9.65754350723e-05
P( rd | Truthful Positive) = 0.000210631631605
P( re | Deceptive Negative) = 1.94874792946e-05
P( re | Deceptive Positive) = 2.87471971483e-05
P( re | Truthful Negative) = 3.86301740289e-05
P( re | Truthful Positive) = 2.63289539507e-05
P( engineer | Deceptive Negative) = 1.94874792946e-05
P( engineer | Deceptive Positive) = 2.87471971483e-05
P( engineer | Truthful Negative) = 9.65754350723e-05
P( engineer | Truthful Positive) = 2.63289539507e-05
P( rented | Deceptive Negative) = 3.89749585891e-05
P( rented | Deceptive Positive) = 5.74943942966e-05
P( rented | Truthful Negative) = 3.86301740289e-05
P( rented | Truthful Positive) = 2.63289539507e-05
P( assured | Deceptive Negative) = 0.000155899834356
P( assured | Deceptive Positive) = 2.87471971483e-05
P( assured | Truthful Negative) = 0.000115890522087
P( assured | Truthful Positive) = 5.26579079013e-05
P( threatened | Deceptive Negative) = 5.84624378837e-05
P( threatened | Deceptive Positive) = 2.87471971483e-05
P( threatened | Truthful Negative) = 3.86301740289e-05
P( threatened | Truthful Positive) = 2.63289539507e-05
P( assures | Deceptive Negative) = 1.94874792946e-05
P( assures | Deceptive Positive) = 2.87471971483e-05
P( assures | Truthful Negative) = 3.86301740289e-05
P( assures | Truthful Positive) = 2.63289539507e-05
P( ian | Deceptive Negative) = 1.94874792946e-05
P( ian | Deceptive Positive) = 2.87471971483e-05
P( ian | Truthful Negative) = 3.86301740289e-05
P( ian | Truthful Positive) = 2.63289539507e-05
P( grapes | Deceptive Negative) = 1.94874792946e-05
P( grapes | Deceptive Positive) = 5.74943942966e-05
P( grapes | Truthful Negative) = 1.93150870145e-05
P( grapes | Truthful Positive) = 2.63289539507e-05
P( pre-wrapped | Deceptive Negative) = 1.94874792946e-05
P( pre-wrapped | Deceptive Positive) = 2.87471971483e-05
P( pre-wrapped | Truthful Negative) = 3.86301740289e-05
P( pre-wrapped | Truthful Positive) = 2.63289539507e-05
P( sheet | Deceptive Negative) = 3.89749585891e-05
P( sheet | Deceptive Positive) = 2.87471971483e-05
P( sheet | Truthful Negative) = 1.93150870145e-05
P( sheet | Truthful Positive) = 2.63289539507e-05
P( sensors | Deceptive Negative) = 1.94874792946e-05
P( sensors | Deceptive Positive) = 2.87471971483e-05
P( sensors | Truthful Negative) = 5.79452610434e-05
P( sensors | Truthful Positive) = 2.63289539507e-05
P( obstructing | Deceptive Negative) = 1.94874792946e-05
P( obstructing | Deceptive Positive) = 2.87471971483e-05
P( obstructing | Truthful Negative) = 1.93150870145e-05
P( obstructing | Truthful Positive) = 5.26579079013e-05
P( chlorine | Deceptive Negative) = 3.89749585891e-05
P( chlorine | Deceptive Positive) = 2.87471971483e-05
P( chlorine | Truthful Negative) = 1.93150870145e-05
P( chlorine | Truthful Positive) = 2.63289539507e-05
P( enormous | Deceptive Negative) = 1.94874792946e-05
P( enormous | Deceptive Positive) = 5.74943942966e-05
P( enormous | Truthful Negative) = 1.93150870145e-05
P( enormous | Truthful Positive) = 5.26579079013e-05
P( ate | Deceptive Negative) = 0.000116924875767
P( ate | Deceptive Positive) = 8.62415914448e-05
P( ate | Truthful Negative) = 7.72603480579e-05
P( ate | Truthful Positive) = 0.000315947447408
P( shelves | Deceptive Negative) = 1.94874792946e-05
P( shelves | Deceptive Positive) = 2.87471971483e-05
P( shelves | Truthful Negative) = 5.79452610434e-05
P( shelves | Truthful Positive) = 2.63289539507e-05
P( atm | Deceptive Negative) = 1.94874792946e-05
P( atm | Deceptive Positive) = 2.87471971483e-05
P( atm | Truthful Negative) = 3.86301740289e-05
P( atm | Truthful Positive) = 2.63289539507e-05
P( satisfication | Deceptive Negative) = 1.94874792946e-05
P( satisfication | Deceptive Positive) = 5.74943942966e-05
P( satisfication | Truthful Negative) = 1.93150870145e-05
P( satisfication | Truthful Positive) = 2.63289539507e-05
P( uunfortunately | Deceptive Negative) = 3.89749585891e-05
P( uunfortunately | Deceptive Positive) = 2.87471971483e-05
P( uunfortunately | Truthful Negative) = 1.93150870145e-05
P( uunfortunately | Truthful Positive) = 2.63289539507e-05
P( shipped | Deceptive Negative) = 1.94874792946e-05
P( shipped | Deceptive Positive) = 5.74943942966e-05
P( shipped | Truthful Negative) = 1.93150870145e-05
P( shipped | Truthful Positive) = 2.63289539507e-05
P( musicians | Deceptive Negative) = 5.84624378837e-05
P( musicians | Deceptive Positive) = 5.74943942966e-05
P( musicians | Truthful Negative) = 1.93150870145e-05
P( musicians | Truthful Positive) = 5.26579079013e-05
P( speedy | Deceptive Negative) = 3.89749585891e-05
P( speedy | Deceptive Positive) = 5.74943942966e-05
P( speedy | Truthful Negative) = 1.93150870145e-05
P( speedy | Truthful Positive) = 5.26579079013e-05
P( reserving | Deceptive Negative) = 5.84624378837e-05
P( reserving | Deceptive Positive) = 2.87471971483e-05
P( reserving | Truthful Negative) = 1.93150870145e-05
P( reserving | Truthful Positive) = 5.26579079013e-05
P( resetting | Deceptive Negative) = 1.94874792946e-05
P( resetting | Deceptive Positive) = 2.87471971483e-05
P( resetting | Truthful Negative) = 3.86301740289e-05
P( resetting | Truthful Positive) = 2.63289539507e-05
P( red-bricked | Deceptive Negative) = 1.94874792946e-05
P( red-bricked | Deceptive Positive) = 5.74943942966e-05
P( red-bricked | Truthful Negative) = 1.93150870145e-05
P( red-bricked | Truthful Positive) = 2.63289539507e-05
P( shopped | Deceptive Negative) = 1.94874792946e-05
P( shopped | Deceptive Positive) = 5.74943942966e-05
P( shopped | Truthful Negative) = 1.93150870145e-05
P( shopped | Truthful Positive) = 2.63289539507e-05
P( wash | Deceptive Negative) = 7.79499171782e-05
P( wash | Deceptive Positive) = 2.87471971483e-05
P( wash | Truthful Negative) = 3.86301740289e-05
P( wash | Truthful Positive) = 2.63289539507e-05
P( customization | Deceptive Negative) = 1.94874792946e-05
P( customization | Deceptive Positive) = 5.74943942966e-05
P( customization | Truthful Negative) = 1.93150870145e-05
P( customization | Truthful Positive) = 2.63289539507e-05
P( bitten | Deceptive Negative) = 1.94874792946e-05
P( bitten | Deceptive Positive) = 2.87471971483e-05
P( bitten | Truthful Negative) = 7.72603480579e-05
P( bitten | Truthful Positive) = 2.63289539507e-05
P( olds | Deceptive Negative) = 1.94874792946e-05
P( olds | Deceptive Positive) = 2.87471971483e-05
P( olds | Truthful Negative) = 1.93150870145e-05
P( olds | Truthful Positive) = 0.000105315815803
P( renovated | Deceptive Negative) = 9.74373964728e-05
P( renovated | Deceptive Positive) = 8.62415914448e-05
P( renovated | Truthful Negative) = 0.000135205609101
P( renovated | Truthful Positive) = 0.000184302677655
P( service | Deceptive Negative) = 0.00290363441489
P( service | Deceptive Positive) = 0.00264474213764
P( service | Truthful Negative) = 0.00258822165994
P( service | Truthful Positive) = 0.00231694794766
P( similarly | Deceptive Negative) = 1.94874792946e-05
P( similarly | Deceptive Positive) = 2.87471971483e-05
P( similarly | Truthful Negative) = 3.86301740289e-05
P( similarly | Truthful Positive) = 2.63289539507e-05
P( air-condition | Deceptive Negative) = 1.94874792946e-05
P( air-condition | Deceptive Positive) = 2.87471971483e-05
P( air-condition | Truthful Negative) = 3.86301740289e-05
P( air-condition | Truthful Positive) = 2.63289539507e-05
P( needed | Deceptive Negative) = 0.000233849751535
P( needed | Deceptive Positive) = 0.000546196745817
P( needed | Truthful Negative) = 0.000309041392231
P( needed | Truthful Positive) = 0.000368605355309
P( listed | Deceptive Negative) = 5.84624378837e-05
P( listed | Deceptive Positive) = 2.87471971483e-05
P( listed | Truthful Negative) = 3.86301740289e-05
P( listed | Truthful Positive) = 5.26579079013e-05
P( legs | Deceptive Negative) = 5.84624378837e-05
P( legs | Deceptive Positive) = 2.87471971483e-05
P( legs | Truthful Negative) = 3.86301740289e-05
P( legs | Truthful Positive) = 2.63289539507e-05
P( ranging | Deceptive Negative) = 3.89749585891e-05
P( ranging | Deceptive Positive) = 2.87471971483e-05
P( ranging | Truthful Negative) = 1.93150870145e-05
P( ranging | Truthful Positive) = 2.63289539507e-05
P( listen | Deceptive Negative) = 3.89749585891e-05
P( listen | Deceptive Positive) = 2.87471971483e-05
P( listen | Truthful Negative) = 3.86301740289e-05
P( listen | Truthful Positive) = 5.26579079013e-05
P( rewards | Deceptive Negative) = 1.94874792946e-05
P( rewards | Deceptive Positive) = 2.87471971483e-05
P( rewards | Truthful Negative) = 1.93150870145e-05
P( rewards | Truthful Positive) = 5.26579079013e-05
P( geneva | Deceptive Negative) = 3.89749585891e-05
P( geneva | Deceptive Positive) = 5.74943942966e-05
P( geneva | Truthful Negative) = 1.93150870145e-05
P( geneva | Truthful Positive) = 2.63289539507e-05
P( pubic | Deceptive Negative) = 3.89749585891e-05
P( pubic | Deceptive Positive) = 2.87471971483e-05
P( pubic | Truthful Negative) = 1.93150870145e-05
P( pubic | Truthful Positive) = 2.63289539507e-05
P( snooty | Deceptive Negative) = 5.84624378837e-05
P( snooty | Deceptive Positive) = 2.87471971483e-05
P( snooty | Truthful Negative) = 3.86301740289e-05
P( snooty | Truthful Positive) = 2.63289539507e-05
P( sofitel | Deceptive Negative) = 1.94874792946e-05
P( sofitel | Deceptive Positive) = 2.87471971483e-05
P( sofitel | Truthful Negative) = 1.93150870145e-05
P( sofitel | Truthful Positive) = 7.8986861852e-05
P( meeting/conference | Deceptive Negative) = 1.94874792946e-05
P( meeting/conference | Deceptive Positive) = 5.74943942966e-05
P( meeting/conference | Truthful Negative) = 1.93150870145e-05
P( meeting/conference | Truthful Positive) = 2.63289539507e-05
P( showed | Deceptive Negative) = 0.000116924875767
P( showed | Deceptive Positive) = 0.000114988788593
P( showed | Truthful Negative) = 9.65754350723e-05
P( showed | Truthful Positive) = 7.8986861852e-05
P( tree | Deceptive Negative) = 1.94874792946e-05
P( tree | Deceptive Positive) = 5.74943942966e-05
P( tree | Truthful Negative) = 1.93150870145e-05
P( tree | Truthful Positive) = 2.63289539507e-05
P( rusty | Deceptive Negative) = 3.89749585891e-05
P( rusty | Deceptive Positive) = 2.87471971483e-05
P( rusty | Truthful Negative) = 3.86301740289e-05
P( rusty | Truthful Positive) = 2.63289539507e-05
P( shower | Deceptive Negative) = 0.000506674461658
P( shower | Deceptive Positive) = 0.000201230380038
P( shower | Truthful Negative) = 0.000946439263709
P( shower | Truthful Positive) = 0.00078986861852
P( sheen | Deceptive Negative) = 3.89749585891e-05
P( sheen | Deceptive Positive) = 2.87471971483e-05
P( sheen | Truthful Negative) = 1.93150870145e-05
P( sheen | Truthful Positive) = 2.63289539507e-05
P( feeling | Deceptive Negative) = 7.79499171782e-05
P( feeling | Deceptive Positive) = 0.000258724774335
P( feeling | Truthful Negative) = 5.79452610434e-05
P( feeling | Truthful Positive) = 0.000263289539507
P( apri | Deceptive Negative) = 1.94874792946e-05
P( apri | Deceptive Positive) = 2.87471971483e-05
P( apri | Truthful Negative) = 1.93150870145e-05
P( apri | Truthful Positive) = 5.26579079013e-05
P( transport,nothing | Deceptive Negative) = 1.94874792946e-05
